m;?? ?_A;R_A;?? ?_B;R_B;?? ?_C;R_C
1;20.6162;0.005;22.017;0.004;19.016;0.004
2;20.6144;0.004;22.018;0.002;19.0162;0.003
3;20.6154;0.005;22.0174;0.005;19.0162;0.003
4;20.6152;0.005;22.0186;0.005;19.0168;0.005
5;20.6152;0.004;22.0172;0.003;19.0172;0.003
6;20.6162;0.003;22.0174;0.003;19.0164;0.004
7;20.614;0.002;22.0174;0.005;19.0174;0.003
8;20.6162;0.004;22.0178;0.003;19.0164;0.005
9;20.6142;0.002;22.0172;0.002;19.0164;0.003
10;20.6168;0.003;22.0172;0.004;19.0168;0.004
11;20.6152;0.004;22.0166;0.003;19.0164;0.004
12;20.616;0.004;22.0172;0.005;19.0166;0.003
13;20.616;0.002;0;0;0;0
